181,～がる,～がる,feel,N5
157,～か月,～かげつ,(number of) months,N5
227,～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),N5
269,～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",N5
287,～さん,～さん,"Mr. ~, Ms. ~",N5
332,～すぎ,～すぎ,"past; to exceed, ~ too much",N5
337,～ずつ,～ずつ,at a time,N5
380,～だけ,～だけ,"only ~, just ~, as ~",N5
384,～たち,～たち,plural suffix,N5
486,～など,～など,et cetera,N5
315,～中,～じゅう,"during, while",N5
409,～中,～ちゅう,"during, while ~ing",N5
326,～人,～じん,counter for people,N5
505,～人,～にん,counter for people,N5
242,～個,～こ,"counter for small items (e.g., fruits, cups)",N5
186,～側,～がわ,~ side,N5
94,～円,～えん,Yen,N5
282,～冊,～さつ,counter for books,N5
590,～分,～ふん,~ minutes,N5
622,～前,～まえ,in front of ~,N5
558,～匹,～ひき,counter for small animals,N5
371,～台,～だい,counter for vehicles; machines,N5
142,～回,～かい,counter for occurrences (~ times),N5
666,～屋,～や,~ shop,N5
511,～年,～ねん,~ years,N5
443,～度,～ど,counter for occurrences; ~ degree; ~ point,N5
500,～日,～にち,"~ day of the month, for ~ days",N5
291,～時,～じ,~ o'clock (time),N5
454,～時,～とき,at the time of ~,N5
295,～時間,～じかん,~ hours,N5
167,～月,～がつ,month of year,N5
611,～本,～ほん,counter for long cylindrical things,N5
520,～杯,～はい,counter for cupfuls,N5
614,～枚,～まい,counter for flat things,N5
275,～歳,～さい,~ years old,N5
551,～番,～ばん,~st; ~th best,N5
244,～語,～ご,"word, language",N5
316,～週間,～しゅうかん,~ weeks,N5
143,～階,～かい,counter for stories (floors) of a building,N5
1,ああ,ああ,"Ah!, Oh!",N5
17,あそこ,あそこ,"there, over there, that place",N5
22,あちら,あちら,this way (polite),N5
26,あっち,あっち,over there,N5
28,あなた,あなた,you,N5
32,あの,あの,"that over there; like that, that way; um...",N5
31,アパート,アパート,apartment (abbr.),N5
43,あれ,あれ,that one (over there),N5
44,いい; よい,いい; よい,good,N5
45,いいえ,いいえ,"no, not at all",N5
48,いかが,いかが,"how, in what way",N5
50,いくつ,いくつ,"how many, how old",N5
51,いくら,いくら,"how much, how many",N5
60,いつ,いつ,when,N5
64,いつも,いつも,"always, usually, every time, never (with neg. verb)",N5
81,うち,うち,home; house; my place,N5
85,うるさい,うるさい,noisy; annoying,N5
91,ええ,ええ,yes,N5
93,エレベーター,エレベーター,elevator,N5
96,お～,お～,honorable ~ (honorific),N5
111,おじいさん,おじいさん,"grandfather, male senior citizen",N5
122,おととし,おととし,year before last,N5
129,おばあさん,おばあさん,"grandmother, female senior-citizen",N5
133,おまわりさん,おまわりさん,policeman (friendly term),N5
126,お兄さん,おにいさん,(someone else's) older brother (formal),N5
127,お姉さん,おねえさん,older sister (formal),N5
131,お弁当,おべんとう,a boxed lunch,N5
116,お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",N5
102,お母さん,おかあさん,mother (formal),N5
117,お父さん,おとうさん,father (formal),N5
109,お皿,おさら,"plate, dish",N5
124,お腹,おなか,stomach,N5
115,お茶,おちゃ,(green) tea,N5
103,お菓子,おかし,"confections, sweets, snack",N5
108,お酒,おさけ,sake; alcohol,N5
104,お金,おかね,money,N5
130,お風呂,おふろ,a bath,N5
153,かかる,かかる,"it takes (amount of time, money) (v.i.)",N5
159,かける,かける,"to dial/call (e.g., phone); to sit down",N5
169,カップ,カップ,cup,N5
172,かばん,かばん,"bag, basket",N5
174,かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",N5
176,カメラ,カメラ,camera,N5
183,カレー,カレー,curry (abbr. for curry and rice),N5
184,カレンダー,カレンダー,calendar,N5
195,ギター,ギター,guitar,N5
212,キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),N5
213,キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),N5
228,クラス,クラス,a class,N5
229,グラム,グラム,gram,N5
250,コート,コート,"coat; court (e.g., tennis)",N5
251,コーヒー,コーヒー,coffee,N5
252,ここ,ここ,"here, this place",N5
258,こちら,こちら,this person (polite); this way (polite),N5
259,こっち,こっち,this person; this direction; this side,N5
260,コップ,コップ,a tumbler; a glass,N5
264,この,この,this,N5
266,コピーする,コピーする,to copy,N5
268,これ,これ,this one,N5
272,こんな,こんな,"such, like this",N5
274,さあ,さあ,"come now, well",N5
286,さ来年,さらいねん,year after next,N5
293,しかし,しかし,however; but,N5
310,じゃ; じゃあ,じゃ; じゃあ,"well, well then",N5
312,シャツ,シャツ,shirt,N5
313,シャワー,シャワー,shower,N5
330,スカート,スカート,skirt,N5
334,すぐに,すぐに,"immediately, soon",N5
338,ストーブ,ストーブ,heater (lit: stove),N5
339,スプーン,スプーン,spoon,N5
340,スポーツ,スポーツ,sport(s),N5
341,ズボン,ズボン,trousers,N5
343,する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",N5
